,94,131,171,193,304,211,335,6173
2010-09-07,2010-09-07T00:00:02.13Z,2010-09-07T00:00:09.63Z,2010-09-07T00:00:12.34Z,2010-09-07T00:00:06.63Z,2010-09-07T00:00:08.12Z,2010-09-07T00:00:00.63Z,2010-09-07T00:00:03.63Z,2010-09-06T23:58:22.40Z
2010-09-08,2010-09-08T00:00:02.12Z,2010-09-08T00:00:09.62Z,2010-09-08T00:00:12.34Z,2010-09-08T00:00:06.63Z,2010-09-08T00:00:08.14Z,2010-09-08T00:00:00.63Z,2010-09-08T00:00:03.63Z,2010-09-07T23:58:22.30Z
2010-09-09,2010-09-09T00:00:02.12Z,2010-09-09T00:00:09.63Z,2010-09-09T00:00:12.34Z,2010-09-09T00:00:06.63Z,2010-09-09T00:00:08.12Z,2010-09-09T00:00:00.63Z,2010-09-09T00:00:03.63Z,2010-09-08T23:58:22.10Z
2010-09-10,2010-09-10T00:00:02.12Z,2010-09-10T00:00:09.62Z,2010-09-10T00:00:12.34Z,2010-09-10T00:00:06.62Z,2010-09-10T00:00:08.12Z,2010-09-10T00:00:00.62Z,2010-09-10T00:00:03.62Z,2010-09-09T23:58:22.00Z
2010-09-11,2010-09-11T00:00:02.13Z,2010-09-11T00:00:09.63Z,2010-09-11T00:00:12.34Z,2010-09-11T00:00:06.62Z,2010-09-11T00:00:08.12Z,2010-09-11T00:00:00.62Z,2010-09-11T00:00:03.62Z,2010-09-10T23:58:21.90Z
2010-09-12,2010-09-12T00:00:02.12Z,2010-09-12T00:00:09.62Z,2010-09-12T00:00:12.34Z,2010-09-12T00:00:06.62Z,2010-09-12T00:00:08.12Z,2010-09-12T00:00:00.63Z,2010-09-12T00:00:03.63Z,2010-09-11T23:58:21.70Z
2010-09-13,2010-09-13T00:00:02.12Z,2010-09-13T00:00:09.62Z,2010-09-13T00:00:12.34Z,2010-09-13T00:00:06.63Z,2010-09-13T00:00:08.13Z,2010-09-13T00:00:00.63Z,2010-09-13T00:00:03.63Z,2010-09-12T23:58:21.60Z
2010-09-14,2010-09-14T00:00:02.12Z,2010-09-14T00:00:09.63Z,2010-09-14T00:00:12.34Z,2010-09-14T00:00:06.63Z,2010-09-14T00:00:08.12Z,2010-09-14T00:00:00.63Z,2010-09-14T00:00:03.63Z,2010-09-13T23:58:21.50Z
2010-09-15,2010-09-15T00:00:02.12Z,2010-09-15T00:00:09.62Z,2010-09-15T00:00:12.34Z,2010-09-15T00:00:06.62Z,2010-09-15T00:00:08.12Z,2010-09-15T00:00:00.62Z,2010-09-15T00:00:03.62Z,2010-09-14T23:58:21.30Z
2010-09-16,2010-09-16T00:00:02.12Z,2010-09-16T00:00:09.63Z,2010-09-16T00:00:12.34Z,2010-09-16T00:00:06.63Z,2010-09-16T00:00:08.12Z,2010-09-16T00:00:00.63Z,2010-09-16T00:00:03.63Z,2010-09-15T23:34:21.20Z
2010-09-17,2010-09-17T00:00:02.12Z,2010-09-17T00:00:09.62Z,2010-09-17T00:00:12.34Z,2010-09-17T00:00:06.63Z,2010-09-17T00:00:08.13Z,2010-09-17T00:00:00.62Z,2010-09-17T00:00:03.63Z,2010-09-16T23:58:21.10Z
2010-09-18,2010-09-18T00:00:02.12Z,2010-09-18T00:00:09.63Z,2010-09-18T00:00:12.34Z,2010-09-18T00:00:06.63Z,2010-09-18T00:00:08.12Z,2010-09-18T00:00:00.62Z,2010-09-18T00:00:03.63Z,2010-09-17T23:58:20.90Z
2010-09-19,2010-09-19T00:00:02.12Z,2010-09-19T00:00:09.62Z,2010-09-19T00:00:12.34Z,2010-09-19T00:00:06.62Z,2010-09-19T00:00:08.12Z,2010-09-19T00:00:00.63Z,2010-09-19T00:00:03.63Z,2010-09-18T23:58:20.80Z
2010-09-20,2010-09-20T00:00:02.12Z,2010-09-20T00:00:09.63Z,2010-09-20T00:00:12.34Z,2010-09-20T00:00:06.63Z,2010-09-20T00:00:08.12Z,2010-09-20T00:00:00.62Z,2010-09-20T00:00:03.62Z,2010-09-19T23:58:20.70Z
2010-09-21,2010-09-21T00:00:02.12Z,2010-09-21T00:00:09.62Z,2010-09-21T00:00:12.34Z,2010-09-21T00:00:06.62Z,2010-09-21T00:00:08.15Z,2010-09-21T00:00:00.63Z,2010-09-21T00:00:03.63Z,2010-09-20T23:58:20.50Z
2010-09-22,2010-09-22T00:00:02.12Z,2010-09-22T00:00:09.62Z,2010-09-22T00:00:12.34Z,2010-09-22T00:00:06.62Z,2010-09-22T00:00:08.12Z,2010-09-22T00:00:00.63Z,2010-09-22T00:00:03.63Z,2010-09-21T23:58:20.40Z
2010-09-23,2010-09-23T00:00:02.13Z,2010-09-23T00:00:09.62Z,2010-09-23T00:00:12.34Z,2010-09-23T00:00:06.62Z,2010-09-23T00:00:08.12Z,2010-09-23T00:00:00.62Z,2010-09-23T00:00:03.62Z,2010-09-22T23:58:20.20Z
2010-09-24,2010-09-24T00:00:02.13Z,2010-09-24T00:00:09.63Z,2010-09-24T00:00:12.34Z,2010-09-24T00:00:06.62Z,2010-09-24T00:00:08.12Z,2010-09-24T00:00:00.62Z,2010-09-24T00:00:03.62Z,2010-09-23T23:58:20.10Z
2010-09-25,2010-09-25T00:00:02.12Z,2010-09-25T00:00:09.62Z,2010-09-25T00:00:12.34Z,2010-09-25T00:00:06.62Z,2010-09-25T00:00:08.12Z,2010-09-25T00:00:00.62Z,2010-09-25T00:00:03.62Z,2010-09-24T23:58:20.00Z
2010-09-26,2010-09-26T00:00:02.12Z,2010-09-26T00:00:09.62Z,2010-09-26T00:00:12.34Z,2010-09-26T00:00:06.62Z,2010-09-26T00:00:08.12Z,2010-09-26T00:00:00.63Z,2010-09-26T00:00:03.62Z,2010-09-25T23:58:19.80Z
2010-09-27,2010-09-27T00:00:02.12Z,2010-09-27T00:00:09.63Z,2010-09-27T00:00:12.34Z,2010-09-27T00:00:06.62Z,2010-09-27T00:00:08.12Z,2010-09-27T00:00:00.63Z,2010-09-27T00:00:03.62Z,2010-09-26T23:58:19.70Z
2010-09-28,2010-09-28T00:00:02.12Z,2010-09-28T00:00:09.63Z,2010-09-28T00:00:12.34Z,2010-09-28T00:00:06.63Z,2010-09-28T00:00:08.12Z,2010-09-28T00:00:00.62Z,2010-09-28T00:00:03.62Z,2010-09-27T23:58:19.50Z
2010-09-29,2010-09-29T00:00:02.12Z,2010-09-29T00:00:09.63Z,2010-09-29T00:00:12.34Z,2010-09-29T00:00:06.62Z,2010-09-29T00:00:08.12Z,2010-09-29T00:00:00.62Z,2010-09-29T00:00:03.62Z,2010-09-28T23:58:19.40Z
2010-09-30,2010-09-30T00:00:02.12Z,2010-09-30T00:00:09.63Z,2010-09-30T00:00:12.34Z,2010-09-30T00:00:06.63Z,2010-09-30T00:00:08.13Z,2010-09-30T00:00:00.63Z,2010-09-30T00:00:03.63Z,2010-09-29T21:58:19.20Z
2010-10-01,2010-10-01T00:00:02.12Z,2010-10-01T00:00:09.63Z,2010-10-01T00:00:12.34Z,2010-10-01T00:00:06.62Z,2010-10-01T00:00:08.12Z,2010-10-01T00:00:00.63Z,2010-10-01T00:00:03.63Z,2010-09-30T23:58:19.10Z
2010-10-02,2010-10-02T00:00:02.12Z,2010-10-02T00:00:09.63Z,2010-10-02T00:00:12.34Z,2010-10-02T00:00:06.62Z,2010-10-02T00:00:08.12Z,2010-10-02T00:00:00.62Z,2010-10-02T00:00:03.62Z,2010-10-01T23:58:19.00Z
2010-10-04,2010-10-04T00:00:02.12Z,2010-10-04T00:00:09.63Z,2010-10-04T00:00:12.34Z,2010-10-04T00:00:06.63Z,2010-10-04T00:00:08.12Z,2010-10-04T00:00:00.63Z,2010-10-04T00:00:03.63Z,2010-10-03T23:58:18.70Z
2010-10-05,2010-10-05T00:00:02.12Z,2010-10-05T00:00:09.62Z,2010-10-05T00:00:12.34Z,2010-10-05T00:00:06.63Z,2010-10-05T00:00:08.12Z,2010-10-05T00:00:00.62Z,2010-10-05T00:00:03.63Z,2010-10-04T23:58:18.60Z
2010-10-06,2010-10-06T00:00:02.12Z,2010-10-06T00:00:09.62Z,2010-10-06T00:00:12.34Z,2010-10-06T00:00:06.62Z,2010-10-06T00:00:08.12Z,2010-10-06T00:00:00.62Z,2010-10-06T00:00:03.62Z,2010-10-05T23:58:18.40Z
2010-10-08,2010-10-08T00:00:02.12Z,2010-10-08T00:00:09.63Z,2010-10-08T00:00:12.34Z,2010-10-08T00:00:06.63Z,2010-10-08T00:00:08.12Z,2010-10-08T00:00:00.62Z,2010-10-08T00:00:03.62Z,2010-10-07T23:58:18.20Z
2010-10-09,2010-10-09T00:00:02.13Z,2010-10-09T00:00:09.62Z,2010-10-09T00:00:12.34Z,2010-10-09T00:00:06.63Z,2010-10-09T00:00:08.12Z,2010-10-09T00:00:00.62Z,2010-10-09T00:00:03.63Z,2010-10-08T23:58:18.00Z
2010-10-10,2010-10-10T00:00:02.12Z,2010-10-10T00:00:09.62Z,2010-10-10T00:00:12.34Z,2010-10-10T00:00:06.62Z,2010-10-10T00:00:08.13Z,2010-10-10T00:00:00.62Z,2010-10-10T00:00:03.62Z,2010-10-09T23:58:17.90Z
2010-10-11,2010-10-11T00:00:02.12Z,2010-10-11T00:00:09.62Z,2010-10-11T00:00:12.34Z,2010-10-11T00:00:06.62Z,2010-10-11T00:00:08.12Z,2010-10-11T00:00:00.62Z,2010-10-11T00:00:03.62Z,2010-10-10T23:58:17.70Z
2010-10-12,2010-10-12T00:00:02.13Z,2010-10-12T00:00:09.63Z,2010-10-12T00:00:12.34Z,2010-10-12T00:00:06.63Z,2010-10-12T00:00:08.12Z,2010-10-12T00:00:00.62Z,2010-10-12T00:00:03.62Z,2010-10-11T23:58:17.60Z
2010-10-13,2010-10-13T00:47:14.12Z,2010-10-13T00:47:09.62Z,2010-10-13T00:47:12.34Z,2010-10-13T00:47:06.60Z,2010-10-13T00:47:08.10Z,2010-10-13T00:47:12.62Z,2010-10-13T00:47:03.60Z,2010-10-13T01:10:17.50Z
2010-10-20,2010-10-20T00:00:02.14Z,2010-10-20T00:00:09.62Z,2010-10-20T00:00:12.34Z,2010-10-20T00:00:07.84Z,2010-10-20T00:00:08.12Z,2010-10-20T00:00:00.62Z,2010-10-20T00:00:03.62Z,2010-10-19T23:58:16.40Z
2010-10-21,2010-10-21T00:00:02.12Z,2010-10-21T00:00:09.62Z,2010-10-21T00:00:12.34Z,2010-10-21T00:00:07.84Z,2010-10-21T00:00:08.12Z,2010-10-21T00:00:00.63Z,2010-10-21T00:00:03.63Z,2010-10-20T23:58:16.30Z
2010-10-22,2010-10-22T00:00:02.12Z,2010-10-22T00:00:09.64Z,2010-10-22T00:00:12.34Z,2010-10-22T00:00:07.84Z,2010-10-22T00:00:08.12Z,2010-10-22T00:00:00.62Z,2010-10-22T00:00:03.62Z,2010-10-21T23:58:16.20Z
2010-10-23,2010-10-23T00:00:02.12Z,2010-10-23T00:00:09.62Z,2010-10-23T00:00:12.34Z,2010-10-23T00:00:07.84Z,2010-10-23T00:00:08.12Z,2010-10-23T00:00:00.62Z,2010-10-23T00:00:03.62Z,2010-10-22T23:58:16.00Z
2010-10-24,2010-10-24T00:00:02.12Z,2010-10-24T00:00:09.62Z,2010-10-24T00:00:12.34Z,2010-10-24T00:00:07.84Z,2010-10-24T00:00:08.12Z,2010-10-24T00:00:00.62Z,2010-10-24T00:00:03.62Z,2010-10-23T23:58:15.90Z
2010-10-25,2010-10-25T00:00:02.12Z,2010-10-25T00:00:09.62Z,2010-10-25T00:00:12.34Z,2010-10-25T00:00:07.84Z,2010-10-25T00:00:08.12Z,2010-10-25T00:00:00.62Z,2010-10-25T00:00:03.62Z,2010-10-24T23:58:15.70Z
2010-10-26,2010-10-26T00:00:02.12Z,2010-10-26T00:00:09.62Z,2010-10-26T00:00:12.34Z,2010-10-26T00:00:07.84Z,2010-10-26T00:00:08.13Z,2010-10-26T00:00:00.62Z,2010-10-26T00:00:03.62Z,2010-10-25T23:58:15.60Z
2010-10-27,2010-10-27T00:00:02.12Z,2010-10-27T00:00:09.62Z,2010-10-27T00:00:12.34Z,2010-10-27T00:00:07.84Z,2010-10-27T00:00:08.12Z,2010-10-27T00:00:00.62Z,2010-10-27T00:00:03.62Z,2010-10-26T23:58:15.50Z
2010-10-28,2010-10-28T00:00:02.14Z,2010-10-28T00:00:09.62Z,2010-10-28T00:00:12.34Z,2010-10-28T00:00:07.84Z,2010-10-28T00:00:08.13Z,2010-10-28T00:00:00.63Z,2010-10-28T00:00:03.63Z,2010-10-27T23:58:15.40Z
2010-10-29,2010-10-29T00:00:02.13Z,2010-10-29T00:00:09.62Z,2010-10-29T00:00:12.34Z,2010-10-29T00:00:07.84Z,2010-10-29T00:00:08.12Z,2010-10-29T00:00:00.62Z,2010-10-29T00:00:03.62Z,2010-10-28T23:58:15.20Z
2010-10-30,2010-10-30T00:00:02.13Z,2010-10-30T00:00:09.62Z,2010-10-30T00:00:12.34Z,2010-10-30T00:00:07.84Z,2010-10-30T00:00:08.12Z,2010-10-30T00:00:00.62Z,2010-10-30T00:00:03.62Z,2010-10-29T23:58:15.10Z
2010-10-31,2010-10-31T00:00:02.12Z,2010-10-31T00:00:09.62Z,2010-10-31T00:00:12.34Z,2010-10-31T00:00:07.84Z,2010-10-31T00:00:08.12Z,2010-10-31T00:00:00.62Z,2010-10-31T00:00:03.62Z,2010-10-30T23:58:15.00Z
2011-01-01,2011-01-01T00:00:02.12Z,2011-01-01T00:00:09.62Z,2011-01-01T00:00:12.34Z,2011-01-01T00:00:07.84Z,2011-01-01T00:00:08.12Z,2011-01-01T00:00:00.63Z,2011-01-01T00:00:03.63Z,2010-12-31T23:58:10.20Z
2011-01-02,2011-01-02T00:00:02.12Z,2011-01-02T00:00:09.62Z,2011-01-02T00:00:12.34Z,2011-01-02T00:00:07.84Z,2011-01-02T00:00:08.12Z,2011-01-02T00:00:00.63Z,2011-01-02T00:00:03.63Z,2011-01-01T23:58:10.20Z
2011-01-03,2011-01-03T00:00:02.12Z,2011-01-03T00:00:09.62Z,2011-01-03T00:00:12.34Z,2011-01-03T00:00:07.84Z,2011-01-03T00:00:08.12Z,2011-01-03T00:00:00.62Z,2011-01-03T00:00:03.62Z,2011-01-02T23:58:10.20Z
2011-01-04,2011-01-04T00:00:02.12Z,2011-01-04T00:00:09.64Z,2011-01-04T00:00:12.34Z,2011-01-04T00:00:07.84Z,2011-01-04T00:00:08.12Z,2011-01-04T00:00:00.63Z,2011-01-04T00:00:03.63Z,2011-01-03T23:58:10.20Z
2011-01-05,2011-01-05T00:00:02.12Z,2011-01-05T00:00:09.62Z,2011-01-05T00:00:12.34Z,2011-01-05T00:00:07.84Z,2011-01-05T00:00:08.12Z,2011-01-05T00:00:00.62Z,2011-01-05T00:00:03.62Z,2011-01-04T23:58:10.20Z
2011-01-06,2011-01-06T00:00:02.12Z,2011-01-06T00:00:09.62Z,2011-01-06T00:00:12.34Z,2011-01-06T00:00:07.84Z,2011-01-06T00:00:08.12Z,2011-01-06T00:00:00.63Z,2011-01-06T00:00:03.62Z,2011-01-05T23:58:10.20Z
2011-01-07,2011-01-07T00:00:02.12Z,2011-01-07T00:00:09.62Z,2011-01-07T00:00:12.34Z,2011-01-07T00:00:07.84Z,2011-01-07T00:00:08.13Z,2011-01-07T00:00:00.62Z,2011-01-07T00:00:03.62Z,2011-01-06T23:58:10.20Z
2011-01-08,2011-01-08T00:00:02.12Z,2011-01-08T00:00:09.62Z,2011-01-08T00:00:12.34Z,2011-01-08T00:00:07.84Z,2011-01-08T00:00:08.12Z,2011-01-08T00:00:00.62Z,2011-01-08T00:00:03.62Z,2011-01-07T23:58:10.20Z
2011-01-09,2011-01-09T00:00:02.12Z,2011-01-09T00:00:09.62Z,2011-01-09T00:00:12.34Z,2011-01-09T00:00:07.84Z,2011-01-09T00:00:08.12Z,2011-01-09T00:00:00.62Z,2011-01-09T00:00:03.62Z,2011-01-08T23:58:10.20Z
2011-01-10,2011-01-10T00:00:02.12Z,2011-01-10T00:00:09.62Z,2011-01-10T00:00:12.34Z,2011-01-10T00:00:07.84Z,2011-01-10T00:00:08.12Z,2011-01-10T00:00:00.62Z,2011-01-10T00:00:03.62Z,2011-01-09T23:58:10.20Z
2011-01-11,2011-01-11T00:00:02.12Z,2011-01-11T00:00:09.62Z,2011-01-11T00:00:12.34Z,2011-01-11T00:00:07.84Z,2011-01-11T00:00:08.12Z,2011-01-11T00:00:00.63Z,2011-01-11T00:00:03.63Z,2011-01-10T23:58:10.20Z
2011-01-12,2011-01-12T00:00:02.12Z,2011-01-12T00:00:09.63Z,2011-01-12T00:00:12.34Z,2011-01-12T00:00:07.84Z,2011-01-12T00:00:08.12Z,2011-01-12T00:00:00.63Z,2011-01-12T00:00:03.62Z,2011-01-11T23:58:10.20Z
2011-01-13,2011-01-13T00:00:02.12Z,2011-01-13T00:00:09.62Z,2011-01-13T00:00:12.34Z,2011-01-13T00:00:07.84Z,2011-01-13T00:00:08.13Z,2011-01-13T00:00:00.62Z,2011-01-13T00:00:03.62Z,2011-01-12T23:58:10.20Z
2011-01-14,2011-01-14T00:00:02.12Z,2011-01-14T00:00:09.62Z,2011-01-14T00:00:12.34Z,2011-01-14T00:00:07.84Z,2011-01-14T00:00:08.12Z,2011-01-14T00:00:00.62Z,2011-01-14T00:00:03.63Z,2011-01-13T23:58:10.30Z
2011-01-15,2011-01-15T00:00:02.14Z,2011-01-15T00:00:09.62Z,2011-01-15T00:00:12.34Z,2011-01-15T00:00:07.84Z,2011-01-15T00:00:08.12Z,2011-01-15T00:00:00.62Z,2011-01-15T00:00:03.62Z,2011-01-14T23:58:10.30Z
2011-01-17,2011-01-17T00:00:02.12Z,2011-01-17T00:00:09.62Z,2011-01-17T00:00:12.34Z,2011-01-17T00:00:07.84Z,2011-01-17T00:00:08.12Z,2011-01-17T00:00:00.62Z,2011-01-17T00:00:03.62Z,2011-01-16T23:58:10.30Z
2011-01-18,2011-01-18T00:00:02.14Z,2011-01-18T00:00:09.62Z,2011-01-18T00:00:12.34Z,2011-01-18T00:00:07.84Z,2011-01-18T00:00:08.13Z,2011-01-18T00:00:00.64Z,2011-01-18T00:00:03.62Z,2011-01-17T23:58:10.40Z
2011-01-19,2011-01-19T00:00:02.13Z,2011-01-19T00:00:09.62Z,2011-01-19T00:00:12.34Z,2011-01-19T00:00:07.84Z,2011-01-19T00:00:08.12Z,2011-01-19T00:00:00.62Z,2011-01-19T00:00:03.62Z,2011-01-18T23:58:10.40Z
2011-01-20,2011-01-20T00:00:02.12Z,2011-01-20T00:00:09.62Z,2011-01-20T00:00:12.34Z,2011-01-20T00:00:07.84Z,2011-01-20T00:00:08.12Z,2011-01-20T00:00:00.62Z,2011-01-20T00:00:03.62Z,2011-01-19T23:58:10.40Z
2011-01-21,2011-01-21T00:00:02.12Z,2011-01-21T00:00:09.62Z,2011-01-21T00:00:12.34Z,2011-01-21T00:00:07.84Z,2011-01-21T00:00:08.12Z,2011-01-21T00:00:00.63Z,2011-01-21T00:00:03.62Z,2011-01-20T23:58:10.50Z
2011-01-22,2011-01-22T00:00:02.12Z,2011-01-22T00:00:09.62Z,2011-01-22T00:00:12.34Z,2011-01-22T00:00:07.84Z,2011-01-22T00:00:08.12Z,2011-01-22T00:00:00.63Z,2011-01-22T00:00:03.62Z,2011-01-21T23:58:10.50Z
2011-01-23,2011-01-23T00:00:02.12Z,2011-01-23T00:00:09.62Z,2011-01-23T00:00:12.34Z,2011-01-23T00:00:07.84Z,2011-01-23T00:00:08.12Z,2011-01-23T00:00:00.63Z,2011-01-23T00:00:03.63Z,2011-01-22T23:58:10.60Z
2011-01-24,2011-01-24T00:00:02.12Z,2011-01-24T00:00:09.62Z,2011-01-24T00:00:12.34Z,2011-01-24T00:00:07.84Z,2011-01-24T00:00:08.12Z,2011-01-24T00:00:00.63Z,2011-01-24T00:00:03.62Z,2011-01-23T23:58:10.60Z
2011-01-25,2011-01-25T00:00:02.13Z,2011-01-25T00:00:09.62Z,2011-01-25T00:00:12.34Z,2011-01-25T00:00:07.84Z,2011-01-25T00:00:08.12Z,2011-01-25T00:00:00.62Z,2011-01-25T00:00:03.62Z,2011-01-24T23:58:10.70Z
2011-01-26,2011-01-26T00:00:02.12Z,2011-01-26T00:00:09.62Z,2011-01-26T00:00:12.34Z,2011-01-26T00:00:07.84Z,2011-01-26T00:00:08.12Z,2011-01-26T00:00:00.62Z,2011-01-26T00:00:03.62Z,2011-01-25T23:58:10.70Z
2011-01-27,2011-01-27T00:00:02.12Z,2011-01-27T00:00:09.62Z,2011-01-27T00:00:12.34Z,2011-01-27T00:00:07.84Z,2011-01-27T00:00:08.13Z,2011-01-27T00:00:00.62Z,2011-01-27T00:00:03.62Z,2011-01-26T23:58:10.80Z
2011-01-28,2011-01-28T00:00:02.12Z,2011-01-28T00:00:09.62Z,2011-01-28T00:00:12.34Z,2011-01-28T00:00:07.84Z,2011-01-28T00:00:08.13Z,2011-01-28T00:00:00.62Z,2011-01-28T00:00:03.62Z,2011-01-27T23:58:10.90Z
2011-01-29,2011-01-29T00:00:02.12Z,2011-01-29T00:00:09.62Z,2011-01-29T00:00:12.34Z,2011-01-29T00:00:07.84Z,2011-01-29T00:00:08.12Z,2011-01-29T00:00:00.62Z,2011-01-29T00:00:03.62Z,2011-01-28T23:58:10.90Z
2011-01-30,2011-01-30T00:00:02.12Z,2011-01-30T00:00:09.62Z,2011-01-30T00:00:12.34Z,2011-01-30T00:00:07.84Z,2011-01-30T00:00:08.12Z,2011-01-30T00:00:00.63Z,2011-01-30T00:00:03.63Z,2011-01-29T23:58:11.00Z
2011-01-31,2011-01-31T00:00:02.12Z,2011-01-31T00:00:09.62Z,2011-01-31T00:00:12.34Z,2011-01-31T00:00:07.84Z,2011-01-31T00:00:08.14Z,2011-01-31T00:00:00.62Z,2011-01-31T00:00:03.62Z,2011-01-30T23:58:11.00Z
2011-02-01,2011-02-01T00:00:02.12Z,2011-02-01T00:00:09.62Z,2011-02-01T00:00:12.34Z,2011-02-01T00:00:07.84Z,2011-02-01T00:00:08.14Z,2011-02-01T00:00:00.62Z,2011-02-01T00:00:03.62Z,2011-01-31T23:58:11.10Z
2011-02-02,2011-02-02T00:00:02.12Z,2011-02-02T00:00:09.63Z,2011-02-02T00:00:12.34Z,2011-02-02T00:00:07.84Z,2011-02-02T00:00:08.12Z,2011-02-02T00:00:00.62Z,2011-02-02T00:00:03.62Z,2011-02-01T23:58:11.20Z
2011-02-03,2011-02-03T00:00:02.12Z,2011-02-03T00:00:09.62Z,2011-02-03T00:00:12.34Z,2011-02-03T00:00:07.84Z,2011-02-03T00:00:08.12Z,2011-02-03T00:00:00.62Z,2011-02-03T00:00:03.62Z,2011-02-02T23:58:11.30Z
2011-02-04,2011-02-04T00:00:02.13Z,2011-02-04T00:00:09.62Z,2011-02-04T00:00:12.34Z,2011-02-04T00:00:07.84Z,2011-02-04T00:00:08.12Z,2011-02-04T00:00:00.63Z,2011-02-04T00:00:03.63Z,2011-02-03T23:58:11.30Z
2011-02-05,2011-02-05T00:00:02.13Z,2011-02-05T00:00:09.62Z,2011-02-05T00:00:12.35Z,2011-02-05T00:00:07.84Z,2011-02-05T00:00:08.12Z,2011-02-05T00:00:00.63Z,2011-02-05T00:00:03.63Z,2011-02-04T23:58:11.40Z
2011-02-06,2011-02-06T00:00:02.12Z,2011-02-06T00:00:09.62Z,2011-02-06T00:00:12.34Z,2011-02-06T00:00:07.84Z,2011-02-06T00:00:08.13Z,2011-02-06T00:00:00.63Z,2011-02-06T00:00:03.63Z,2011-02-05T23:58:11.50Z
2011-02-07,2011-02-07T00:00:02.12Z,2011-02-07T00:00:09.62Z,2011-02-07T00:00:12.34Z,2011-02-07T00:00:07.84Z,2011-02-07T00:00:08.14Z,2011-02-07T00:00:00.62Z,2011-02-07T00:00:03.62Z,2011-02-06T23:58:11.60Z
2011-02-08,2011-02-08T00:00:02.12Z,2011-02-08T00:00:09.62Z,2011-02-08T00:00:12.34Z,2011-02-08T00:00:07.84Z,2011-02-08T00:00:08.12Z,2011-02-08T00:00:00.62Z,2011-02-08T00:00:03.62Z,2011-02-07T23:58:11.60Z
2011-02-09,2011-02-09T00:00:02.12Z,2011-02-09T00:00:09.62Z,2011-02-09T00:00:12.34Z,2011-02-09T00:00:07.84Z,2011-02-09T00:00:08.12Z,2011-02-09T00:00:00.62Z,2011-02-09T00:00:03.62Z,2011-02-08T23:58:11.70Z
2011-02-10,2011-02-10T00:00:02.12Z,2011-02-10T00:00:09.62Z,2011-02-10T00:00:12.34Z,2011-02-10T00:00:07.84Z,2011-02-10T00:00:08.12Z,2011-02-10T00:00:00.62Z,2011-02-10T00:00:03.62Z,2011-02-09T23:58:11.80Z
